time,level,activity,status
1624347379.399126,INFO,default,running
1624347565.58746,INFO,default,running
1624348641.102538,INFO,default,finished
1624348641.10991,INFO,mood board,running
1624348709.948856,INFO,jokes,mood_blue
1624348709.94941,INFO,mood board,finished
1624348709.951099,INFO,jokes,running
1624348737.949622,INFO,jokes,finished
1624348737.950837,INFO,mood board,running
1624348777.272824,INFO,fun dances,mood_blue
1624348777.273345,INFO,mood board,finished
1624348777.275182,INFO,fun dances,running
1624348834.025928,INFO,fun dances,finished
1624348834.0271,INFO,mood board,running
1624348855.889394,INFO,mood board,interrupted - no one engaged
1624348855.890321,INFO,default,running
1624349122.267375,INFO,mood board,running
1624349136.26671,INFO,mood board,interrupted - no one engaged
1624349136.267486,INFO,default,running
1624349365.886107,INFO,default,finished
1624349365.888956,INFO,mood board,running
1624349398.15164,INFO,relaxing sounds,mood_red
1624349398.152174,INFO,mood board,finished
1624349398.15382,INFO,relaxing sounds,running
1624349410.538426,INFO,relaxing sounds,interrupted - no one engaged
1624349411.24992,INFO,default,running
1624349869.228941,INFO,mood board,running
1624349885.177873,INFO,fun dances,mood_green
1624349885.178069,INFO,mood board,finished
1624349885.179448,INFO,fun dances,running
1624349905.458721,INFO,fun dances,finished
1624349905.460177,INFO,mood board,running
1624349919.29255,INFO,fun dances,mood_green
1624349919.29289,INFO,mood board,finished
1624349919.294469,INFO,fun dances,running
1624349938.45511,INFO,fun dances,finished
1624349938.456419,INFO,mood board,running
1624349949.842312,INFO,jokes,mood_green
1624349949.842586,INFO,mood board,finished
1624349949.844036,INFO,jokes,running
1624349966.643044,INFO,jokes,interrupted from Pepper tablet
1624349966.64395,INFO,mood board,running
1624349980.153491,INFO,listening,mood_green
1624349980.154054,INFO,mood board,finished
1624349980.156063,INFO,listening,running
1624349986.259867,INFO,listening,interrupted from Pepper tablet
1624349986.260954,INFO,mood board,running
1624350000.060952,INFO,fun dances,mood_green
1624350000.061482,INFO,mood board,finished
1624350000.063018,INFO,fun dances,running
1624350055.852574,INFO,fun dances,finished
1624350055.853629,INFO,mood board,running
1624350068.474626,INFO,fun dances,mood_green
1624350068.475105,INFO,mood board,finished
1624350068.476682,INFO,fun dances,running
1624350080.726652,INFO,fun dances,finished
1624350080.727697,INFO,mood board,running
1624350091.576633,INFO,fun dances,mood_green
1624350091.576827,INFO,mood board,finished
1624350091.577357,INFO,fun dances,running
