time,level,activity,status
1625211618.384156,INFO,default,running
1625212050.808402,INFO,default,running
1625212546.067465,INFO,default,finished
1625212546.068457,INFO,mood board,running
1625212602.53086,INFO,mood board,interrupted - no one engaged
1625212602.531756,INFO,default,running
1625212609.045662,INFO,default,interrupted from ctrl tablet
1625212609.046604,INFO,default,running
1625213154.104025,INFO,default,finished
1625213154.106092,INFO,mood board,running
1625213195.69933,INFO,fun dances,unknown
1625213195.699649,INFO,mood board,finished
1625213195.701116,INFO,fun dances,running
1625213252.163018,INFO,fun dances,finished
1625213252.164064,INFO,mood board,running
1625213261.576949,INFO,mood board,finished
1625213261.57946,INFO,default,running
1625213288.69347,INFO,default,interrupted - no one engaged
1625213288.693871,INFO,default,running
1625216820.263031,INFO,default,finished
1625216820.267102,INFO,mood board,running
1625216841.93794,INFO,fun dances,unknown
1625216841.938228,INFO,mood board,finished
1625216841.93971,INFO,fun dances,running
1625216855.330873,INFO,fun dances,finished
1625216855.332018,INFO,mood board,running
1625216868.711464,INFO,mood board,finished
1625216868.713033,INFO,default,running
1625216903.902612,INFO,default,interrupted - no one engaged
1625216903.90354,INFO,default,running
1625216933.667389,INFO,default,running
1625217524.703265,INFO,default,finished
1625217524.705757,INFO,mood board,running
1625217583.129871,INFO,jokes,mood_blue
1625217583.130477,INFO,mood board,finished
1625217583.132052,INFO,jokes,running
1625217628.284339,INFO,jokes,finished
1625217628.285479,INFO,mood board,running
1625217659.224109,INFO,calm dances,mood_blue
1625217659.22436,INFO,mood board,finished
1625217659.225823,INFO,calm dances,running
1625217712.584569,INFO,calm dances,finished
1625217712.585871,INFO,mood board,running
1625217752.286451,INFO,calm music,mood_blue
1625217752.287198,INFO,mood board,finished
1625217752.289404,INFO,calm music,running
1625217873.978279,INFO,calm music,finished
1625217873.979644,INFO,mood board,running
1625217895.444947,INFO,listening,mood_blue
1625217895.445221,INFO,mood board,finished
1625217895.446591,INFO,listening,running
1625218062.420221,INFO,listening,interrupted - no one engaged
1625218062.421922,INFO,default,running
1625218064.943567,INFO,default,interrupted from ctrl tablet
1625218064.944603,INFO,default,running
1625218415.212909,INFO,default,finished
1625218415.215427,INFO,mood board,running
1625218444.583816,INFO,mood board,interrupted - no one engaged
1625218444.585004,INFO,default,running
1625220003.953481,INFO,default,finished
1625220003.956014,INFO,mood board,running
1625220021.699782,INFO,fun dances,mood_green
1625220021.70041,INFO,mood board,finished
1625220021.702503,INFO,fun dances,running
1625220078.767062,INFO,fun dances,finished
1625220078.768839,INFO,mood board,running
1625220093.855323,INFO,jokes,mood_green
1625220093.8559,INFO,mood board,finished
1625220093.85783,INFO,jokes,running
1625220140.72031,INFO,jokes,finished
1625220140.721585,INFO,mood board,running
