time,level,nb_children
1625212546.067783,INFO,1
1625212602.4794,INFO,0
1625213153.078919,INFO,1
1625213288.692541,INFO,0
1625216820.264305,INFO,1
1625216903.862156,INFO,0
1625217524.704117,INFO,1
1625217815.603666,INFO,3
1625217816.645617,INFO,4
1625217827.338127,INFO,1
1625217829.199838,INFO,3
1625217843.658916,INFO,4
1625218057.176815,INFO,3
1625218057.578668,INFO,2
1625218057.935891,INFO,1
1625218059.896986,INFO,0
1625218415.213772,INFO,1
1625218444.54492,INFO,0
1625220003.954198,INFO,1
1625220054.701151,INFO,0
1625220064.158547,INFO,1
1625220185.140931,INFO,0
1625220855.437115,INFO,1
1625220986.850943,INFO,0
1625222303.181036,INFO,1
1625222470.856036,INFO,2
1625222473.248288,INFO,1
1625222593.042262,INFO,0
1625222620.700947,INFO,1
1625222655.21267,INFO,2
1625222674.124704,INFO,1
1625222758.793991,INFO,0
1625230343.329425,INFO,1
1625230352.225649,INFO,2
1625230418.640034,INFO,1
1625230468.249164,INFO,0
1625230770.614417,INFO,1
1625231245.8424,INFO,0
1625231995.801376,INFO,1
1625232044.31707,INFO,2
1625232052.727766,INFO,0
1625232103.26584,INFO,1
1625232247.232349,INFO,0
1625232371.510755,INFO,1
1625232410.579171,INFO,2
1625232433.171409,INFO,1
1625232495.433,INFO,0
