time,level,activity,status
1624606430.28588,INFO,default,running
1624606438.87671,INFO,default,finished
1624606438.878509,INFO,mood board,running
1624606444.325541,INFO,mood board,interrupted from ctrl tablet
1624606444.325921,INFO,default,running
1624606446.912273,INFO,default,interrupted - no one engaged
1624606446.913469,INFO,default,running
1624606450.105611,INFO,default,finished
1624606450.108919,INFO,mood board,running
1624606475.587023,INFO,jokes,mood_green
1624606475.587609,INFO,mood board,finished
1624606475.589238,INFO,jokes,running
1624606519.55032,INFO,jokes,finished
1624606519.551338,INFO,mood board,running
1624606536.427595,INFO,mood board,finished
1624606536.42973,INFO,default,running
1624606541.15899,INFO,default,interrupted - no one engaged
1624606541.159692,INFO,default,running
1624608025.854451,INFO,default,finished
1624608025.857154,INFO,mood board,running
1624608055.585756,INFO,fun dances,mood_green
1624608055.586239,INFO,mood board,finished
1624608055.587828,INFO,fun dances,running
1624608068.790079,INFO,fun dances,finished
1624608068.791196,INFO,mood board,running
1624608082.803977,INFO,fun dances,mood_green
1624608082.804469,INFO,mood board,finished
1624608082.806282,INFO,fun dances,running
1624608102.180118,INFO,fun dances,finished
1624608102.181196,INFO,mood board,running
1624608120.779899,INFO,fun dances,mood_green
1624608120.780388,INFO,mood board,finished
1624608120.781941,INFO,fun dances,running
1624608133.938078,INFO,fun dances,finished
1624608133.939303,INFO,mood board,running
1624608142.476609,INFO,mood board,interrupted - no one engaged
1624608142.477696,INFO,default,running
1624608943.575895,INFO,mood board,running
1624608962.451888,INFO,cuddle,unknown
1624608962.452193,INFO,mood board,finished
1624608962.454039,INFO,cuddle,running
1624608977.731758,INFO,cuddle,finished
1624608977.732806,INFO,mood board,running
1624608991.017036,INFO,fun dances,unknown
1624608991.017344,INFO,mood board,finished
1624608991.018788,INFO,fun dances,running
1624609004.195989,INFO,fun dances,finished
1624609004.197187,INFO,mood board,running
1624609032.754589,INFO,jokes,unknown
1624609032.755229,INFO,mood board,finished
1624609032.756893,INFO,jokes,running
1624609067.74958,INFO,jokes,finished
1624609067.750733,INFO,mood board,running
