time,level,activity,status
1625124611.972876,INFO,default,running
1625126649.95199,INFO,default,finished
1625126649.959642,INFO,mood board,running
1625126672.295744,INFO,fun dances,mood_green
1625126672.296027,INFO,mood board,finished
1625126672.297516,INFO,fun dances,running
1625126692.600548,INFO,fun dances,finished
1625126692.601627,INFO,mood board,running
1625126703.29327,INFO,fun dances,mood_green
1625126703.2937,INFO,mood board,finished
1625126703.295402,INFO,fun dances,running
1625126760.079001,INFO,fun dances,finished
1625126760.080113,INFO,mood board,running
1625126766.382259,INFO,mood board,finished
1625126766.384211,INFO,default,running
1625126770.746744,INFO,default,interrupted - no one engaged
1625126770.747747,INFO,default,running
1625127591.394656,INFO,default,finished
1625127591.396934,INFO,mood board,running
1625127622.985272,INFO,fun dances,unknown
1625127622.985386,INFO,mood board,finished
1625127622.985979,INFO,fun dances,running
1625127642.394563,INFO,fun dances,finished
1625127642.39567,INFO,mood board,running
1625127654.318014,INFO,mood board,finished
1625127654.319595,INFO,default,running
1625127670.347795,INFO,default,interrupted - no one engaged
1625127670.348756,INFO,default,running
1625128038.83184,INFO,default,finished
1625128038.833771,INFO,mood board,running
1625128050.064171,INFO,listening,mood_green
1625128050.064449,INFO,mood board,finished
1625128050.065905,INFO,listening,running
1625128058.578102,INFO,listening,interrupted from Pepper tablet
1625128058.578953,INFO,mood board,running
1625128070.08124,INFO,fun dances,mood_green
1625128070.08152,INFO,mood board,finished
1625128070.083018,INFO,fun dances,running
1625128089.436473,INFO,fun dances,finished
1625128089.438,INFO,mood board,running
1625128125.862428,INFO,fun dances,mood_green
1625128125.862734,INFO,mood board,finished
1625128125.864139,INFO,fun dances,running
1625128138.974672,INFO,fun dances,finished
1625128138.975848,INFO,mood board,running
1625128172.821018,INFO,jokes,mood_green
1625128172.821304,INFO,mood board,finished
1625128172.822731,INFO,jokes,running
1625128189.605087,INFO,jokes,interrupted from Pepper tablet
1625128189.605972,INFO,mood board,running
1625128197.806427,INFO,calm dances,running
1625128201.157734,INFO,calm dances,running
1625128254.848548,INFO,calm dances,finished
1625128254.849604,INFO,mood board,running
1625128263.03459,INFO,mood board,finished
1625128263.036659,INFO,default,running
1625128270.980435,INFO,default,finished
1625128270.982571,INFO,mood board,running
1625128286.950757,INFO,fun dances,mood_green
1625128286.951194,INFO,mood board,finished
1625128286.952559,INFO,fun dances,running
1625128344.343256,INFO,fun dances,finished
1625128344.344278,INFO,mood board,running
1625128365.794387,INFO,jokes,mood_green
1625128365.794971,INFO,mood board,finished
1625128365.796641,INFO,jokes,running
1625128394.28459,INFO,jokes,interrupted from Pepper tablet
1625128394.285594,INFO,mood board,running
1625128410.055565,INFO,fun dances,mood_green
1625128410.055845,INFO,mood board,finished
1625128410.057278,INFO,fun dances,running
1625128430.970798,INFO,fun dances,finished
1625128430.971876,INFO,mood board,running
1625128444.348273,INFO,listening,mood_green
1625128444.348689,INFO,mood board,finished
1625128444.350163,INFO,listening,running
1625128450.389949,INFO,listening,interrupted from Pepper tablet
1625128450.390745,INFO,mood board,running
1625128462.994435,INFO,listening,mood_green
1625128462.994926,INFO,mood board,finished
1625128462.996447,INFO,listening,running
1625128467.974615,INFO,listening,interrupted from Pepper tablet
1625128467.975419,INFO,mood board,running
1625128476.634273,INFO,jokes,mood_green
1625128476.634526,INFO,mood board,finished
1625128476.635949,INFO,jokes,running
1625128507.05258,INFO,jokes,interrupted from Pepper tablet
1625128507.053442,INFO,mood board,running
1625128531.651892,INFO,fun dances,mood_green
1625128531.652051,INFO,mood board,finished
1625128531.653065,INFO,fun dances,running
1625128550.998122,INFO,fun dances,finished
1625128550.999167,INFO,mood board,running
1625128576.956973,INFO,jokes,mood_green
1625128576.957326,INFO,mood board,finished
1625128576.958604,INFO,jokes,running
1625128593.382358,INFO,jokes,interrupted from Pepper tablet
1625128593.383397,INFO,mood board,running
1625128607.026022,INFO,fun dances,mood_green
1625128607.026298,INFO,mood board,finished
1625128607.02768,INFO,fun dances,running
1625128626.922749,INFO,fun dances,finished
1625128626.923869,INFO,mood board,running
1625128673.1871,INFO,fun dances,mood_green
1625128673.187665,INFO,mood board,finished
1625128673.189393,INFO,fun dances,running
1625128697.780727,INFO,fun dances,interrupted from ctrl tablet
1625128698.433348,INFO,default,running
1625128699.798875,INFO,default,finished
1625128699.80147,INFO,mood board,running
1625128708.626935,INFO,cuddle,running
1625128723.274545,INFO,cuddle,finished
1625128723.275591,INFO,mood board,running
1625128747.870737,INFO,cuddle,running
1625128750.592051,INFO,cuddle,running
1625128766.752841,INFO,cuddle,finished
1625128766.753943,INFO,mood board,running
1625128779.52743,INFO,cuddle,running
1625128782.248922,INFO,cuddle,running
1625128784.28425,INFO,cuddle,running
1625128799.586849,INFO,cuddle,finished
1625128799.587895,INFO,mood board,running
1625128857.372351,INFO,fun dances,mood_green
1625128857.372683,INFO,mood board,finished
1625128857.373943,INFO,fun dances,running
1625128870.519066,INFO,fun dances,finished
1625128870.520109,INFO,mood board,running
1625128898.251328,INFO,relaxing sounds,mood_green
1625128898.251589,INFO,mood board,finished
1625128898.25308,INFO,relaxing sounds,running
1625128914.826359,INFO,relaxing sounds,interrupted from Pepper tablet
1625128916.114607,INFO,mood board,running
1625128929.855969,INFO,fun dances,mood_green
1625128929.85626,INFO,mood board,finished
1625128929.858087,INFO,fun dances,running
1625128985.663067,INFO,fun dances,finished
1625128985.6641,INFO,mood board,running
1625129036.121257,INFO,fun dances,mood_green
1625129036.121513,INFO,mood board,finished
1625129036.122912,INFO,fun dances,running
1625129049.246759,INFO,fun dances,finished
1625129049.247352,INFO,mood board,running
1625129092.833035,INFO,fun dances,mood_green
1625129092.83331,INFO,mood board,finished
1625129092.834775,INFO,fun dances,running
1625129105.07856,INFO,fun dances,finished
1625129105.079567,INFO,mood board,running
1625129112.811861,INFO,jokes,mood_green
1625129112.812271,INFO,mood board,finished
1625129112.814243,INFO,jokes,running
1625129135.403628,INFO,jokes,interrupted from Pepper tablet
1625129135.404557,INFO,mood board,running
1625129161.618565,INFO,fun dances,mood_green
1625129161.61884,INFO,mood board,finished
1625129161.620197,INFO,fun dances,running
1625129180.970701,INFO,fun dances,finished
1625129180.971641,INFO,mood board,running
1625129204.698092,INFO,calm music,mood_green
1625129204.698372,INFO,mood board,finished
1625129204.699751,INFO,calm music,running
1625129285.118319,INFO,cuddle,running
1625129287.880078,INFO,cuddle,running
1625129290.95284,INFO,cuddle,interrupted from ctrl tablet
1625129291.619893,INFO,default,running
1625129291.621348,INFO,default,interrupted from ctrl tablet
1625129291.622104,INFO,default,running
1625129291.623349,INFO,default,interrupted from ctrl tablet
1625129291.624366,INFO,default,running
1625129291.624808,INFO,default,interrupted from ctrl tablet
1625129291.625036,INFO,default,running
1625129291.634358,INFO,default,interrupted from ctrl tablet
1625129291.63538,INFO,default,running
1625129298.201585,INFO,cuddle,running
1625129312.814908,INFO,cuddle,finished
1625129312.81684,INFO,mood board,running
1625129341.554232,INFO,fun dances,mood_green
1625129341.55467,INFO,mood board,finished
1625129341.556191,INFO,fun dances,running
1625129356.763047,INFO,fun dances,interrupted from ctrl tablet
1625129356.838198,INFO,default,running
1625129358.558102,INFO,default,finished
1625129358.560006,INFO,mood board,running
1625129366.864923,INFO,fun dances,mood_green
1625129366.865214,INFO,mood board,finished
1625129366.866659,INFO,fun dances,running
1625129370.772556,INFO,fun dances,finished
1625129370.774,INFO,mood board,running
1625129398.313137,INFO,cuddle,mood_green
1625129398.313506,INFO,mood board,finished
1625129398.315146,INFO,cuddle,running
1625129412.953798,INFO,cuddle,finished
1625129412.95482,INFO,mood board,running
1625129421.592735,INFO,fun dances,mood_green
1625129421.593309,INFO,mood board,finished
1625129421.595595,INFO,fun dances,running
1625129433.857477,INFO,fun dances,finished
1625129433.858013,INFO,mood board,running
1625129442.692278,INFO,jokes,mood_green
1625129442.692845,INFO,mood board,finished
1625129442.694509,INFO,jokes,running
1625129472.650494,INFO,jokes,interrupted from Pepper tablet
1625129472.651499,INFO,mood board,running
1625129752.822515,INFO,fun dances,mood_green
1625129752.822778,INFO,mood board,finished
1625129752.824169,INFO,fun dances,running
1625129765.977936,INFO,fun dances,finished
1625129765.978972,INFO,mood board,running
1625129797.962622,INFO,fun dances,mood_green
1625129797.963054,INFO,mood board,finished
1625129797.964468,INFO,fun dances,running
1625129810.182111,INFO,fun dances,finished
1625129810.183266,INFO,mood board,running
1625129833.087349,INFO,cuddle,mood_green
1625129833.087653,INFO,mood board,finished
1625129833.093035,INFO,cuddle,running
1625129848.361329,INFO,cuddle,finished
1625129848.362342,INFO,mood board,running
1625129857.092808,INFO,jokes,mood_green
