time,level,activity,status
1624433962.277841,INFO,default,running
1624434631.496008,INFO,mood board,running
1624434665.953885,INFO,fun dances,mood_green
1624434665.954403,INFO,mood board,finished
1624434665.955874,INFO,fun dances,running
1624434723.268351,INFO,fun dances,finished
1624434723.269549,INFO,mood board,running
1624434737.192222,INFO,mood board,finished
1624434737.194735,INFO,default,running
1624435478.719086,INFO,default,finished
1624435478.72189,INFO,mood board,running
1624435543.460787,INFO,fun dances,mood_blue
1624435543.461059,INFO,mood board,finished
1624435543.462449,INFO,fun dances,running
1624435555.986107,INFO,fun dances,finished
1624435555.987199,INFO,mood board,running
1624435563.787749,INFO,mood board,interrupted - no one engaged
1624435563.788454,INFO,default,running
1624436056.677682,INFO,default,finished
1624436056.682236,INFO,mood board,running
1624436079.295802,INFO,relaxing sounds,mood_red
1624436079.296126,INFO,mood board,finished
1624436079.296652,INFO,relaxing sounds,running
1624436088.271943,INFO,relaxing sounds,interrupted from Pepper tablet
1624436088.788724,INFO,mood board,running
1624436099.394357,INFO,mood board,finished
1624436099.395608,INFO,default,running
1624436552.310801,INFO,default,finished
1624436552.312687,INFO,mood board,running
1624436564.839772,INFO,fun dances,mood_green
1624436564.840089,INFO,mood board,finished
1624436564.841499,INFO,fun dances,running
1624436620.721614,INFO,fun dances,finished
1624436620.722648,INFO,mood board,running
1624436647.845664,INFO,fun dances,mood_green
1624436647.845988,INFO,mood board,finished
1624436647.847825,INFO,fun dances,running
1624436660.973536,INFO,fun dances,finished
1624436660.974568,INFO,mood board,running
1624436671.031022,INFO,fun dances,mood_green
1624436671.031303,INFO,mood board,finished
1624436671.032904,INFO,fun dances,running
1624436727.733748,INFO,fun dances,finished
1624436727.734923,INFO,mood board,running
1624436739.371525,INFO,fun dances,mood_green
1624436739.371792,INFO,mood board,finished
1624436739.373363,INFO,fun dances,running
1624436795.21043,INFO,fun dances,finished
1624436795.211928,INFO,mood board,running
1624436801.563447,INFO,mood board,finished
1624436801.564116,INFO,default,running
1624436803.550557,INFO,default,finished
1624436803.551886,INFO,mood board,running
1624436822.507383,INFO,fun dances,mood_green
1624436822.507943,INFO,mood board,finished
1624436822.509618,INFO,fun dances,running
1624436843.223412,INFO,fun dances,finished
1624436843.224637,INFO,mood board,running
1624436857.99748,INFO,mood board,interrupted - no one engaged
1624436857.998269,INFO,default,running
1624437098.952525,INFO,default,finished
1624437098.955272,INFO,mood board,running
1624437169.155484,INFO,listening,mood_blue
1624437169.155953,INFO,mood board,finished
1624437169.15754,INFO,listening,running
1624437234.477068,INFO,listening,interrupted from Pepper tablet
1624437234.477997,INFO,mood board,running
1624437252.809465,INFO,cuddle,mood_blue
1624437252.809765,INFO,mood board,finished
1624437252.811292,INFO,cuddle,running
1624437268.145892,INFO,cuddle,finished
1624437268.146497,INFO,mood board,running
