time,level,activity,status
1624266056.207007,INFO,default,running
1624266345.421006,INFO,default,finished
1624266345.424095,INFO,mood board,running
1624266406.303877,INFO,story,unknown
1624266406.304328,INFO,mood board,finished
1624266406.306082,INFO,story,running
1624266562.788113,INFO,story,interrupted from Pepper tablet
1624266562.789056,INFO,mood board,running
1624266583.628765,INFO,mood board,interrupted from ctrl tablet
1624266583.629533,INFO,default,running
1624266589.320909,INFO,default,interrupted from ctrl tablet
1624266589.322274,INFO,default,running
1624266589.323768,INFO,default,interrupted from ctrl tablet
1624266589.324667,INFO,default,running
1624266589.325907,INFO,default,interrupted from ctrl tablet
1624266589.326739,INFO,default,running
1624266589.328089,INFO,default,interrupted from ctrl tablet
1624266589.32895,INFO,default,running
1624266589.330135,INFO,default,interrupted from ctrl tablet
1624266589.330912,INFO,default,running
1624266595.009243,INFO,default,interrupted from ctrl tablet
1624266595.010133,INFO,default,running
1624266595.012057,INFO,default,interrupted from ctrl tablet
1624266595.013051,INFO,default,running
1624266595.014915,INFO,default,interrupted from ctrl tablet
1624266595.016012,INFO,default,running
1624266595.017579,INFO,default,interrupted from ctrl tablet
1624266595.018649,INFO,default,running
1624266629.000006,INFO,default,running
1624266637.951224,INFO,mood board,running
1624266677.123062,INFO,fun dances,unknown
1624266677.123369,INFO,mood board,finished
1624266677.125235,INFO,fun dances,running
1624266832.889203,INFO,default,running
1624266839.25854,INFO,mood board,running
1624266855.347714,INFO,jokes,unknown
1624266855.34822,INFO,mood board,finished
1624266855.3498,INFO,jokes,running
1624266887.62168,INFO,jokes,finished
1624266887.62284,INFO,mood board,running
1624266896.989811,INFO,mood board,interrupted from Pepper tablet
1624266896.990964,INFO,mood board,running
1624266915.733212,INFO,jokes,unknown
1624266915.73375,INFO,mood board,finished
1624266915.735326,INFO,jokes,running
1624266946.113979,INFO,jokes,finished
1624266946.115486,INFO,mood board,running
1624266974.049218,INFO,fun dances,unknown
1624266974.049515,INFO,mood board,finished
1624266974.054254,INFO,fun dances,running
1624266993.430218,INFO,fun dances,finished
1624266993.431317,INFO,mood board,running
1624267001.995928,INFO,fun dances,unknown
1624267001.996205,INFO,mood board,finished
1624267001.998101,INFO,fun dances,running
1624267058.755207,INFO,fun dances,finished
1624267058.755618,INFO,mood board,running
1624267062.796887,INFO,mood board,finished
1624267062.798927,INFO,default,running
1624267064.175916,INFO,default,finished
1624267064.177773,INFO,mood board,running
1624267084.152179,INFO,listening,unknown
1624267084.152443,INFO,mood board,finished
1624267084.153954,INFO,listening,running
1624267100.35088,INFO,listening,interrupted from Pepper tablet
1624267100.351865,INFO,mood board,running
1624267128.07627,INFO,story,unknown
1624267128.076543,INFO,mood board,finished
1624267128.077998,INFO,story,running
1624267574.783016,INFO,story,finished
1624267574.784103,INFO,mood board,running
1624267599.091329,INFO,mood board,interrupted - no one engaged
1624267599.092184,INFO,default,running
1624268052.656953,INFO,default,finished
1624268052.659155,INFO,mood board,running
1624268079.466889,INFO,cuddle,unknown
1624268079.467162,INFO,mood board,finished
1624268079.468554,INFO,cuddle,running
1624268094.138528,INFO,cuddle,finished
1624268094.140137,INFO,mood board,running
1624268144.061091,INFO,fun dances,unknown
1624268144.061413,INFO,mood board,finished
1624268144.062972,INFO,fun dances,running
1624268163.447591,INFO,fun dances,finished
1624268163.448739,INFO,mood board,running
1624268186.993709,INFO,listening,unknown
1624268186.993984,INFO,mood board,finished
1624268186.995463,INFO,listening,running
1624268192.715029,INFO,listening,interrupted from Pepper tablet
1624268192.715934,INFO,mood board,running
1624268229.188018,INFO,calm dances,unknown
1624268229.188478,INFO,mood board,finished
1624268229.190095,INFO,calm dances,running
1624268282.368553,INFO,calm dances,finished
1624268282.369755,INFO,mood board,running
1624268296.489218,INFO,relaxing sounds,unknown
1624268296.489497,INFO,mood board,finished
1624268296.491141,INFO,relaxing sounds,running
1624268306.264144,INFO,relaxing sounds,interrupted from Pepper tablet
1624268307.289193,INFO,mood board,running
1624268334.405132,INFO,calm music,unknown
1624268334.405674,INFO,mood board,finished
1624268334.407507,INFO,calm music,running
1624268480.960533,INFO,calm music,finished
1624268480.961607,INFO,mood board,running
1624268495.328217,INFO,mood board,finished
1624268495.329845,INFO,default,running
1624268497.765699,INFO,default,finished
1624268497.767505,INFO,mood board,running
1624268535.820509,INFO,jokes,unknown
1624268535.820816,INFO,mood board,finished
1624268535.822314,INFO,jokes,running
1624268557.064456,INFO,jokes,interrupted from Pepper tablet
1624268557.065269,INFO,mood board,running
1624268585.395853,INFO,fun dances,unknown
1624268585.396329,INFO,mood board,finished
1624268585.397998,INFO,fun dances,running
1624268605.447844,INFO,fun dances,finished
1624268605.448933,INFO,mood board,running
1624268623.96519,INFO,mood board,finished
1624268623.967268,INFO,default,running
1624268637.232517,INFO,default,finished
1624268637.234379,INFO,mood board,running
1624268658.807072,INFO,calm music,mood_blue
