time,level,activity,status
1624003322.480838,INFO,default,running
1624004029.424051,INFO,mood board,running
1624004031.901837,INFO,default,running
1624004047.488121,INFO,mood board,running
1624004077.960081,INFO,listening,mood_red
1624004077.960406,INFO,mood board,finished
1624004077.961903,INFO,listening,running
1624004111.107954,INFO,listening,interrupted - no one engaged
1624004111.109212,INFO,default,running
1624004111.110605,INFO,default,interrupted from ctrl tablet
1624004111.111397,INFO,default,running
1624004111.162925,INFO,default,interrupted from Pepper tablet
1624004111.163926,INFO,mood board,running
1624004111.216574,INFO,mood board,interrupted from ctrl tablet
1624004111.217442,INFO,default,running
1624004114.814693,INFO,default,interrupted from ctrl tablet
1624004114.815886,INFO,default,running
1624004204.146843,INFO,default,finished
1624004204.14962,INFO,mood board,running
1624004222.895258,INFO,listening,mood_red
1624004222.895797,INFO,mood board,finished
1624004222.897458,INFO,listening,running
1624004241.877713,INFO,listening,interrupted from Pepper tablet
1624004241.878639,INFO,mood board,running
1624004250.8966,INFO,calm dances,mood_red
1624004250.89693,INFO,mood board,finished
1624004250.898498,INFO,calm dances,running
1624004291.866538,INFO,calm dances,interrupted from ctrl tablet
1624004292.147917,INFO,default,running
1624004388.242729,INFO,mood board,running
1624004391.334398,INFO,default,running
1624004391.386472,INFO,mood board,running
1624004411.249777,INFO,listening,unknown
1624004411.250318,INFO,mood board,finished
1624004411.252008,INFO,listening,running
1624004418.51947,INFO,listening,interrupted from Pepper tablet
1624004418.520556,INFO,mood board,running
1624004426.107931,INFO,mood board,finished
1624004426.110003,INFO,default,running
1624004434.94106,INFO,default,interrupted - no one engaged
1624004434.941587,INFO,default,running
1624004557.528105,INFO,default,finished
1624004557.529598,INFO,mood board,running
1624004575.678121,INFO,relaxing sounds,mood_red
1624004575.678634,INFO,mood board,finished
1624004575.680275,INFO,relaxing sounds,running
1624004605.774656,INFO,relaxing sounds,finished
1624004605.775966,INFO,mood board,running
1624004638.094473,INFO,calm dances,mood_red
1624004638.094896,INFO,mood board,finished
1624004638.096368,INFO,calm dances,running
1624004692.446685,INFO,calm dances,finished
1624004692.447807,INFO,mood board,running
1624004716.972447,INFO,mood board,finished
1624004716.974091,INFO,default,running
1624004723.264292,INFO,default,finished
1624004723.266696,INFO,mood board,running
1624004740.915675,INFO,story,mood_yellow
1624004740.915958,INFO,mood board,finished
1624004740.917343,INFO,story,running
1624004988.711994,INFO,story,interrupted from Pepper tablet
1624004988.712933,INFO,mood board,running
1624005032.692281,INFO,mood board,finished
1624005032.693749,INFO,default,running
1624005035.588259,INFO,default,finished
1624005035.590125,INFO,mood board,running
1624005052.03116,INFO,story,mood_yellow
1624005052.031698,INFO,mood board,finished
1624005052.033328,INFO,story,running
1624005267.509546,INFO,story,interrupted from Pepper tablet
1624005267.510961,INFO,mood board,running
1624005279.052512,INFO,mood board,finished
1624005279.05506,INFO,default,running
1624005281.238254,INFO,default,finished
1624005281.240209,INFO,mood board,running
1624005297.673018,INFO,calm dances,mood_blue
1624005297.673325,INFO,mood board,finished
1624005297.674731,INFO,calm dances,running
1624005350.186995,INFO,calm dances,interrupted from ctrl tablet
1624005350.459727,INFO,default,running
1624005811.436198,INFO,default,finished
1624005811.439393,INFO,mood board,running
1624005840.768091,INFO,relaxing sounds,mood_yellow
1624005840.768373,INFO,mood board,finished
1624005840.769855,INFO,relaxing sounds,running
1624005864.963071,INFO,relaxing sounds,interrupted - no one engaged
1624005865.100454,INFO,default,running
1624006062.823835,INFO,default,finished
1624006062.826421,INFO,mood board,running
1624006096.103883,INFO,default,running
1624006456.550615,INFO,default,finished
1624006456.553409,INFO,mood board,running
1624006466.80818,INFO,fun dances,unknown
1624006466.808677,INFO,mood board,finished
1624006466.810738,INFO,fun dances,running
1624006479.989512,INFO,fun dances,finished
1624006479.990857,INFO,mood board,running
1624006496.045603,INFO,listening,unknown
1624006496.046189,INFO,mood board,finished
