time,level,person_id,user_id,x,y,z,x_world,y_world,z_world,looking_at_robot,engaged,age
1624003326.47363,INFO,1154,0,0,0,0,2.2706778049468994,1.8753056526184082,1.4605060815811157,0.0,disappearing,child
1624003327.528523,INFO,1154,0,0,0,0,2.2706778049468994,1.8753056526184082,1.4605060815811157,0.0,disappearing,child
1624003328.573644,INFO,1154,0,0,0,0,2.2706778049468994,1.8753056526184082,1.4605060815811157,0.0,disappearing,child
1624003329.459339,INFO,1154,0,0,0,0,2.2706778049468994,1.8753056526184082,1.4605060815811157,0.0,lost,child
1624003994.415251,INFO,6548,-1,2.4682605266571045,0.07821685820817947,1.896054983139038,1.5073833465576172,1.9642682075500488,1.8993096351623535,0.0,seen,child
1624003995.447402,INFO,6548,-1,2.4682605266571045,0.07821685820817947,1.896054983139038,1.5073833465576172,1.9642682075500488,1.8993096351623535,0.0,seen,child
1624003996.497555,INFO,6548,0,0,0,0,1.5073833465576172,1.9642682075500488,1.8993096351623535,0.0,disappearing,child
1624003997.539779,INFO,6548,0,0,0,0,1.5073833465576172,1.9642682075500488,1.8993096351623535,0.0,disappearing,child
1624003998.538934,INFO,6548,0,0,0,0,1.5073833465576172,1.9642682075500488,1.8993096351623535,0.0,disappearing,child
1624003999.025694,INFO,6590,-1,0.9871565103530884,0.022647645324468613,1.553987979888916,0.6131004095077515,0.7822695374488831,1.553987979888916,0.0,engaging,adult
1624003999.178601,INFO,6548,0,0,0,0,1.5073833465576172,1.9642682075500488,1.8993096351623535,0.0,lost,child
1624004000.038801,INFO,6590,-1,0.6951119899749756,0.344329833984375,1.7059144973754883,0.17890779674053192,0.7665773034095764,1.7059144973754883,0.0,engaging,adult
1624004001.039831,INFO,6590,-1,0.6951119899749756,0.344329833984375,1.7059144973754883,0.17890779674053192,0.7665773034095764,1.7059144973754883,0.0,engaging,adult
1624004002.040595,INFO,6590,-1,0.6951119899749756,0.344329833984375,1.7059144973754883,0.17890779674053192,0.7665773034095764,1.7059144973754883,0.0,engaged,adult
1624004003.044872,INFO,6590,-1,0.6951119899749756,0.344329833984375,1.7059144973754883,0.17890779674053192,0.7665773034095764,1.7059144973754883,0.0,engaged,adult
