time,level,source,type,arg1,arg2,arg3
1619690785.828369,INFO,control, social gesture, calm
1619690789.32062,INFO,control, social gesture, disappointed
1619690796.020108,INFO,control, social gesture, hello
1619690842.130011,INFO,tablet, stories, (u'request',)
1619690842.130493,INFO,Story telling, running
1619691208.155858,INFO,Story telling, stopped
1619691239.805167,INFO,control, social gesture, calm
1619691247.505178,INFO,control, social gesture, calm
1619691254.318236,INFO,control, social gesture, bored
1619691297.139027,INFO,control, generic behaviour, robots4sen-brl/elephant
1619691326.904305,INFO,control, generic behaviour, robots4sen-brl/saxophone
1619691407.278673,INFO,control, social gesture, hello
1619691413.027432,INFO,control, social gesture, hello
1619691829.893637,INFO,control, social gesture, hello
1619691843.323348,INFO,control, social gesture, explain
1619691854.399366,INFO,control, social gesture, calm
1619691861.440787,INFO,control, social gesture, embarrassed
1619691882.690873,INFO,control, social gesture, happy
1619691888.637776,INFO,control, social gesture, happy
1619691894.706091,INFO,control, social gesture, bored
1619691901.601925,INFO,control, social gesture, bored
1619691911.23908,INFO,control, social gesture, calm
1619691918.058186,INFO,control, social gesture, calm
1619691971.395058,INFO,control, generic behaviour, robots4sen-brl/saxophone
1619691989.094461,INFO,control, generic behaviour, robots4sen-brl/elephant
1619692174.660144,INFO,control, generic behaviour, robots4sen-brl/dance-taichi
1619692176.826335,INFO,control, generic behaviour, robots4sen-brl/dance-taichi
1619692358.41208,INFO,tablet, stories, (u'request',)
1619692358.413049,INFO,Story telling, running
1619692666.961341,INFO,Story telling, stopped
1619693610.559684,INFO,control, social gesture, hello
1619693617.378982,INFO,control, social gesture, hello
1619693628.098788,INFO,control, social gesture, happy
1619693635.623981,INFO,control, generic behaviour, robots4sen-brl/elephant
1619693663.805019,INFO,control, social gesture, bored
1619693676.068234,INFO,control, generic behaviour, robots4sen-brl/saxophone
1619693940.48393,INFO,tablet, stories, (u'request',)
1619693940.484842,INFO,Story telling, running
1619694281.849268,INFO,Story telling, stopped
1619694345.099441,INFO,control, social gesture, hello
1619695305.829425,INFO,control, social gesture, hello
1619695331.875057,INFO,control, social gesture, hello
1619695336.957372,INFO,control, social gesture, hello
1619695341.966185,INFO,control, social gesture, hello
1619695346.930756,INFO,control, social gesture, hello
1619695353.432141,INFO,control, social gesture, calm
1619695362.036918,INFO,control, social gesture, explain
1619695368.821216,INFO,control, social gesture, happy
1619695379.030825,INFO,control, social gesture, bored
1619695417.889768,INFO,tablet, stories, (u'request',)
1619695417.890005,INFO,Story telling, running
1619695774.426528,INFO,Story telling, stopped
1619697209.924406,INFO,control, social gesture, unknown
1619697214.421244,INFO,control, social gesture, embarrassed
1619697235.422293,INFO,control, social gesture, explain
1619697250.520973,INFO,control, social gesture, unknown
1619697993.112222,INFO,control, social gesture, hello
1619697996.931442,INFO,control, social gesture, hello
1619698012.637646,INFO,control, social gesture, happy
1619698015.097221,INFO,control, social gesture, happy
1619698025.449869,INFO,control, social gesture, explain
1619698048.267373,INFO,control, generic behaviour, robots4sen-brl/saxophone
1619698050.061076,INFO,control, generic behaviour, robots4sen-brl/saxophone
1619698140.217343,INFO,control, generic behaviour, robots4sen-brl/dance-taichi
1619698497.884955,INFO,control, social gesture, embarrassed
1619698579.888522,INFO,tablet, stories, (u'request',)
1619698579.889075,INFO,Story telling, running
1619699249.844805,INFO,Story telling, stopped
1619701027.103675,INFO,control, social gesture, unknown
1619701039.38612,INFO,control, social gesture, disappointed
1619701050.603492,INFO,control, social gesture, disappointed
1619701055.971112,INFO,control, social gesture, disappointed
1619701061.117856,INFO,control, social gesture, disappointed
1619701065.445745,INFO,control, social gesture, disappointed
1619701069.620102,INFO,control, social gesture, disappointed
1619704868.196424,INFO,tablet, stories, (u'request',)
1619704868.196977,INFO,Story telling, running
1619704927.954784,INFO,tablet, stories, (u'request',)
1619704927.955376,INFO,Story telling, running
1619705214.971466,INFO,tablet, stories, (u'request',)
1619705214.972701,INFO,Story telling, running
1619705253.150748,INFO,tablet, stories, (u'request',)
1619705253.153868,INFO,Story telling, running
1619705489.88036,INFO,tablet, stories, (u'request',)
1619705489.880954,INFO,Story telling, running
1619705742.96296,INFO,tablet, stories, (u'request',)
1619705742.963192,INFO,Story telling, running
1619705747.975227,INFO,tablet, stories, (u'request',)
1619705747.975762,INFO,Story telling, running
1619705756.400571,INFO,tablet, stories, (u'request',)
1619705756.40118,INFO,Story telling, running
1619705774.058294,INFO,tablet, stories, (u'request',)
1619705774.058782,INFO,Story telling, running
1619705981.238445,INFO,tablet, stories, (u'request',)
1619705981.239076,INFO,Story telling, running
1619706282.598961,INFO,tablet, stories, (u'request',)
1619706282.599588,INFO,Story telling, running
1619706372.720865,INFO,Story telling, stopped
1619706420.322176,INFO,tablet, stories, (u'request',)
1619706420.323024,INFO,Story telling, running
1619706503.565705,INFO,Story telling, stopped
