time,level,person_id,user_id,x,y,z
1619615581.520642,INFO,2047,-1,1.125,-0.218,1.739
1619615582.470534,INFO,2047,-1,1.348,0.236,1.688
1619615583.421135,INFO,2047,0,1.474,0.373,1.723
1619615584.370902,INFO,2047,0,1.495,0.239,1.750
1619615585.3347,INFO,2047,0,1.477,0.241,1.755
1619615586.334832,INFO,2047,0,1.516,0.250,1.735
1619615587.335912,INFO,2047,0,1.527,0.251,1.764
1619615588.335297,INFO,2047,0,1.494,0.248,1.749
1619615589.33525,INFO,2047,0,1.585,0.138,1.628
1619615590.33422,INFO,2047,0,1.553,0.243,1.729
1619615591.334373,INFO,2047,0,1.576,0.177,1.674
1619615592.334835,INFO,2047,0,1.553,0.255,1.729
1619615593.335034,INFO,2047,0,1.573,0.169,1.677
1619615594.334404,INFO,2047,0,1.503,0.229,1.738
1619615595.33467,INFO,2047,0,1.511,0.144,1.722
1619615596.334314,INFO,2047,0,1.582,0.139,1.735
1619615597.33357,INFO,2047,0,1.460,0.053,1.734
1619615598.334278,INFO,2047,0,1.407,0.029,1.712
1619615599.334195,INFO,2047,0,1.532,0.038,1.722
1619615600.334613,INFO,2047,0,1.455,0.177,1.714
1619615601.335305,INFO,2047,0,1.306,0.279,1.708
1619615602.334203,INFO,2047,0,1.239,0.064,1.684
1619615603.335402,INFO,2047,0,1.209,0.072,1.672
1619615604.334884,INFO,2047,0,1.198,0.130,1.668
1619615605.335734,INFO,2047,0,1.226,0.131,1.674
1619615606.335293,INFO,2047,0,1.238,0.097,1.673
1619615607.334708,INFO,2047,0,1.269,0.169,1.687
1619615608.335364,INFO,2047,0,1.386,0.218,1.733
1619615609.334254,INFO,2047,0,1.411,0.256,1.729
1619615610.335529,INFO,2047,0,1.315,0.248,1.700
1619615611.335851,INFO,2047,0,1.283,0.278,1.694
1619615612.334161,INFO,2047,0,1.315,0.228,1.704
1619615613.33509,INFO,2047,0,1.287,0.148,1.715
1619615614.335333,INFO,2047,0,1.226,0.257,1.691
1619615615.335233,INFO,2047,0,1.374,0.271,1.509
1619615616.334103,INFO,2047,0,0.637,-0.255,1.854
1619615617.335095,INFO,2047,0,0.637,-0.255,1.854
1619615618.334426,INFO,2047,0,0.637,-0.255,1.854
1619615619.335574,INFO,2047,0,0.637,-0.255,1.854
1619615620.33463,INFO,2047,0,0.637,-0.255,1.854
1619615621.334515,INFO,2047,0,0.637,-0.255,1.854
1619615622.33574,INFO,2047,0,0.637,-0.255,1.854
1619615623.334465,INFO,2047,0,0.637,-0.255,1.854
1619615624.334882,INFO,2047,0,0.637,-0.255,1.854
1619615625.335143,INFO,2047,0,0.637,-0.255,1.854
1619615626.334409,INFO,2047,0,0.286,-0.275,1.572
1619615627.335071,INFO,2047,0,0.286,-0.275,1.572
1619615628.334988,INFO,2047,0,0.286,-0.275,1.572
1619615629.333583,INFO,2047,0,0.286,-0.275,1.572
1619615630.334692,INFO,2047,0,0.286,-0.275,1.572
1619615631.335264,INFO,2047,0,0.286,-0.275,1.572
1619615632.33522,INFO,2047,0,0.286,-0.275,1.572
1619615633.335708,INFO,2047,0,0.286,-0.275,1.572
1619615634.334443,INFO,2047,0,0.286,-0.275,1.572
1619615635.33513,INFO,2047,0,0.286,-0.275,1.572
1619615646.91491,INFO,2454,-1,1.472,0.123,1.697
1619615647.866265,INFO,2454,-1,1.222,0.106,1.713
1619615648.835553,INFO,2454,0,1.222,0.106,1.713
1619615649.838019,INFO,2454,0,0.998,0.453,1.520
1619615650.83504,INFO,2454,0,0.998,0.453,1.520
1619615651.834968,INFO,2454,0,0.982,0.508,1.512
1619615652.834418,INFO,2454,0,0.835,0.525,1.667
1619615653.833835,INFO,2454,0,0.836,0.519,1.653
1619615654.834906,INFO,2454,0,0.836,0.540,1.647
1619615655.834688,INFO,2454,0,0.852,0.505,1.660
1619615656.835323,INFO,2454,0,0.991,0.374,1.525
1619615657.835231,INFO,2454,0,1.050,0.165,1.606
1619615658.835442,INFO,2454,0,1.041,0.213,1.705
1619615659.833814,INFO,2454,0,1.022,0.229,1.689
1619615660.834454,INFO,2454,0,0.996,0.254,1.684
1619615661.835568,INFO,2454,0,1.009,0.248,1.700
1619615662.835191,INFO,2454,0,0.982,0.249,1.691
1619615663.834723,INFO,2454,0,0.972,0.262,1.688
1619615664.834865,INFO,2454,0,0.784,0.568,1.655
1619615665.835391,INFO,2454,0,0.754,0.582,1.660
1619615666.83396,INFO,2454,0,0.748,0.577,1.655
1619615667.833973,INFO,2454,0,0.957,0.581,1.508
1619615668.835141,INFO,2454,0,0.946,0.575,1.499
1619615669.842188,INFO,2454,0,0.948,0.575,1.501
