time,level,person_id,user_id,x,y,z,x_world,y_world,z_world,looking_at_robot,engaged,age
1624520896.77706,INFO,15065,-1,1.3146767616271973,-2.1026203632354736,1.4428995847702026,1.3090559244155884,-2.0760252475738525,1.4665930271148682,0.0,seen,child
1624520897.728155,INFO,15065,0,1.1633855104446411,-1.7987836599349976,1.4588563442230225,1.1544543504714966,-1.7319954633712769,1.4661742448806763,0.0,seen,child
1624520898.677352,INFO,15065,0,0.9299901723861694,-1.1228837966918945,1.438586711883545,0.9302189350128174,-1.1226943731307983,1.438586711883545,0.644444465637207,engaging,adult
1624520899.668211,INFO,15065,0,0.7997463941574097,-0.7025163769721985,1.4520645141601562,0.7924480438232422,-0.6068777441978455,1.469927430152893,0.5777778029441833,engaging,adult
1624520900.612733,INFO,15065,0,0.7307717800140381,-0.39675432443618774,1.5038402080535889,0.6701410412788391,-0.3344891667366028,1.503920078277588,0.3333333134651184,engaging,adult
1624520901.612945,INFO,15065,0,0.6756458282470703,-0.2989498972892761,1.4989588260650635,0.6261372566223145,-0.23037579655647278,1.4843592643737793,0.0,engaged,adult
1624520902.613064,INFO,15065,0,0.6646689176559448,-0.4263930916786194,1.492451786994934,0.6690356135368347,-0.5172594785690308,1.4653632640838623,0.0,engaged,adult
1624520903.614569,INFO,15065,0,1.095481276512146,-0.9633433222770691,1.4413245916366577,1.0956828594207764,-0.9631140828132629,1.4413247108459473,0.0,engaged,adult
1624520904.612714,INFO,15065,0,1.3933075666427612,-1.4383840560913086,1.4369841814041138,1.4651679992675781,-1.4999754428863525,1.3809688091278076,0.0,disengaging,adult
1624520905.61309,INFO,15065,0,1.6165969371795654,-2.0389792919158936,1.3614927530288696,1.6684504747390747,-2.055260181427002,1.3023462295532227,0.0,disengaging,adult
1624520906.612522,INFO,15065,0,1.6165969371795654,-2.0389792919158936,1.3614927530288696,1.6684504747390747,-2.055260181427002,1.3023462295532227,0.0,disengaging,adult
1624520907.611987,INFO,15065,0,1.680756688117981,-2.1866085529327393,0.9526721239089966,1.6812022924423218,-2.1862664222717285,0.9526721239089966,0.0,seen,adult
1624520908.612182,INFO,15065,0,1.680756688117981,-2.1866085529327393,0.9526721239089966,1.6812022924423218,-2.1862664222717285,0.9526721239089966,0.0,seen,adult
1624520909.612535,INFO,15065,0,0,0,0,1.6812022924423218,-2.1862664222717285,0.9526721239089966,0.0,disappearing,adult
1624520910.612529,INFO,15065,0,0,0,0,1.6812022924423218,-2.1862664222717285,0.9526721239089966,0.0,disappearing,adult
1624520911.612336,INFO,15065,0,0,0,0,1.6812022924423218,-2.1862664222717285,0.9526721239089966,0.0,disappearing,adult
1624520912.055791,INFO,15065,0,0,0,0,1.6812022924423218,-2.1862664222717285,0.9526721239089966,0.0,lost,adult
1624520951.623521,INFO,15542,-1,0.37160781025886536,-2.744070291519165,1.5578006505966187,0.3721828758716583,-2.7439920902252197,1.5578006505966187,0.0,seen,child
1624520952.612587,INFO,15542,0,0.37160781025886536,-2.744070291519165,1.5578006505966187,0.3721828758716583,-2.7439920902252197,1.5578006505966187,0.0,seen,child
1624520953.622405,INFO,15542,0,0,0,0,0.3721828758716583,-2.7439920902252197,1.5578006505966187,0.0,disappearing,child
1624520954.612634,INFO,15542,0,0,0,0,0.3721828758716583,-2.7439920902252197,1.5578006505966187,0.0,disappearing,child
1624520955.612425,INFO,15542,0,0,0,0,0.3721828758716583,-2.7439920902252197,1.5578006505966187,0.0,disappearing,child
1624520956.486572,INFO,15542,0,0,0,0,0.3721828758716583,-2.7439920902252197,1.5578006505966187,0.0,lost,child
1624520987.612962,INFO,15865,-1,0.6889815330505371,-0.4609353542327881,1.6208598613739014,0.6890819072723389,-0.4607853293418884,1.6208598613739014,0.0,seen,child
1624520988.612891,INFO,15865,-1,0.6889815330505371,-0.4609353542327881,1.6208598613739014,0.6890819072723389,-0.4607853293418884,1.6208598613739014,0.0,seen,child
1624520989.612567,INFO,15865,0,0,0,0,0.6890819072723389,-0.4607853293418884,1.6208598613739014,0.0,disappearing,child
1624520990.612921,INFO,15865,0,0,0,0,0.6890819072723389,-0.4607853293418884,1.6208598613739014,0.0,disappearing,child
1624520991.612856,INFO,15865,0,0,0,0,0.6890819072723389,-0.4607853293418884,1.6208598613739014,0.0,disappearing,child
1624520992.049477,INFO,15865,0,0,0,0,0.6890819072723389,-0.4607853293418884,1.6208598613739014,0.0,lost,child
1624521609.171844,INFO,20558,-1,1.779477596282959,-0.16332897543907166,1.604491949081421,1.7795214653015137,-0.16284939646720886,1.604491949081421,0.0,seen,child
1624521610.121826,INFO,20558,-1,2.176396369934082,0.017876774072647095,1.6022435426712036,2.176391839981079,0.018464483320713043,1.602243423461914,0.0,seen,child
1624521611.112828,INFO,20558,0,2.176396369934082,0.017876774072647095,1.6022435426712036,2.176391839981079,0.018464483320713043,1.602243423461914,0.0,seen,child
1624521612.112175,INFO,20558,0,0,0,0,2.176391839981079,0.018464483320713043,1.602243423461914,0.0,disappearing,child
1624521613.112654,INFO,20558,0,0,0,0,2.176391839981079,0.018464483320713043,1.602243423461914,0.0,disappearing,child
1624521614.112717,INFO,20558,0,0,0,0,2.176391839981079,0.018464483320713043,1.602243423461914,0.0,disappearing,child
1624521614.85317,INFO,20558,0,0,0,0,2.176391839981079,0.018464483320713043,1.602243423461914,0.0,lost,child
1624522026.09218,INFO,24524,-1,1.4992378950119019,-0.6064643263816833,1.5418437719345093,1.6559135913848877,-0.21082718670368195,1.5418437719345093,0.0,seen,child
1624522027.113219,INFO,24524,-1,1.4992378950119019,-0.6064643263816833,1.5418437719345093,1.6559135913848877,-0.21082718670368195,1.5418437719345093,0.0,seen,child
1624522028.112382,INFO,24524,-1,1.4992378950119019,-0.6064643263816833,1.5418437719345093,1.6559135913848877,-0.21082718670368195,1.5418437719345093,0.0,seen,child
1624522029.112962,INFO,24524,-1,0,0,0,1.6559135913848877,-0.21082718670368195,1.5418437719345093,0.0,disappearing,child
1624522030.112679,INFO,24524,-1,0,0,0,1.6559135913848877,-0.21082718670368195,1.5418437719345093,0.0,disappearing,child
