time,level,activity,status
1624520182.095716,INFO,default,running
1624520491.540568,INFO,default,finished
1624520491.547904,INFO,mood board,running
1624520502.081891,INFO,listening,mood_yellow
1624520502.082368,INFO,mood board,finished
1624520502.084066,INFO,listening,running
1624520508.179802,INFO,listening,interrupted from Pepper tablet
1624520508.180963,INFO,mood board,running
1624520514.856278,INFO,cuddle,mood_yellow
1624520514.856878,INFO,mood board,finished
1624520514.858586,INFO,cuddle,running
1624520530.149222,INFO,cuddle,finished
1624520530.150334,INFO,mood board,running
1624520533.775963,INFO,mood board,interrupted - no one engaged
1624520533.776947,INFO,default,running
1624520842.650929,INFO,default,interrupted - no one engaged
1624520842.651794,INFO,default,running
1624522132.162709,INFO,default,finished
1624522132.166555,INFO,mood board,running
1624522152.277112,INFO,jokes,mood_blue
1624522152.277669,INFO,mood board,finished
1624522152.279358,INFO,jokes,running
1624522178.694943,INFO,jokes,interrupted from Pepper tablet
1624522178.69599,INFO,mood board,running
1624522196.445364,INFO,mood board,finished
1624522196.446892,INFO,default,running
1624522199.438788,INFO,default,interrupted - no one engaged
1624522199.439134,INFO,default,running
1624522956.119947,INFO,default,finished
1624522956.12291,INFO,mood board,running
1624522970.430197,INFO,fun dances,mood_green
1624522970.430783,INFO,mood board,finished
1624522970.432554,INFO,fun dances,running
1624523026.301858,INFO,fun dances,finished
1624523026.302949,INFO,mood board,running
1624523036.625582,INFO,fun dances,mood_green
1624523036.625886,INFO,mood board,finished
1624523036.627563,INFO,fun dances,running
1624523048.843564,INFO,fun dances,finished
1624523048.844624,INFO,mood board,running
1624523058.971224,INFO,story,mood_green
1624523058.971728,INFO,mood board,finished
1624523058.973386,INFO,story,running
1624523068.797835,INFO,story,interrupted from Pepper tablet
1624523068.79876,INFO,mood board,running
1624523076.700318,INFO,fun dances,mood_green
1624523076.700896,INFO,mood board,finished
1624523076.702831,INFO,fun dances,running
1624523096.106948,INFO,fun dances,finished
1624523096.108034,INFO,mood board,running
1624523113.363822,INFO,fun dances,mood_green
1624523113.364162,INFO,mood board,finished
1624523113.366145,INFO,fun dances,running
1624523170.716043,INFO,fun dances,finished
1624523170.717258,INFO,mood board,running
1624523181.412138,INFO,fun dances,mood_green
1624523181.412489,INFO,mood board,finished
1624523181.414733,INFO,fun dances,running
1624523193.668855,INFO,fun dances,finished
1624523193.670289,INFO,mood board,running
1624523228.196701,INFO,mood board,finished
1624523228.198606,INFO,default,running
1624523230.38341,INFO,default,interrupted - no one engaged
1624523230.383792,INFO,default,running
1624523299.626813,INFO,mood board,running
1624523301.84661,INFO,mood board,interrupted - no one engaged
1624523301.847423,INFO,default,running
1624524712.474578,INFO,mood board,running
1624524739.555461,INFO,mood board,interrupted - no one engaged
1624524739.556536,INFO,default,running
1624525379.70863,INFO,mood board,running
1624525383.373773,INFO,default,running
1624525383.425336,INFO,mood board,running
1624525404.180019,INFO,calm dances,mood_red
1624525404.180461,INFO,mood board,finished
1624525404.182166,INFO,calm dances,running
1624525456.650707,INFO,calm dances,finished
1624525456.651772,INFO,mood board,running
1624525463.6557,INFO,mood board,interrupted from ctrl tablet
